#,title,date,venue,slug,summary
,"Workshop on Java Programming","December 2013","Indus Hospital Research Centre","java-programming-workshop","Five days of Java for a team that was new to it. The IDE and conventions, variables and operators, program control, arrays, searching and sorting, objects and classes, inheritance, dynamic structures and threads. Each day ends with a practice set."
,"Cloud Computing","July 2014","Bahria University","cloud-computing","What the cloud is, what was actually new about it, and why anyone would move to it. Ends with what it takes to run your own."
,"Siesta","November 2014","Mohammad Ali Jinnah University","siesta","How many hours are there in your day? The session opens with that question and works through what the answer says about the way we plan work."
,"An Interactive Introduction to R","October 2014","Mohammad Ali Jinnah University","introduction-to-r","R from scratch. What it is, why it exists, the building blocks of the language, built-in functions and packages, then a hands-on run through the Titanic dataset."
,"Introduction to Map-Reduce","April 2018","PAF-KIET","introduction-to-map-reduce","Divide and conquer as a way to process data. Parallel processing, the scalability problem, the three Vs of big data, and how the map and reduce phases work."
,"Continuous Integration and Delivery","May 2018","Interactive Health Solutions","continuous-integration-and-delivery","Setting up CI/CD in an engineering team. Code stability, automated testing, version control, code reviews, and automated deployment with runners."
,"Introduction to Unit Testing","May 2018","Interactive Health Solutions","introduction-to-unit-testing","What a unit test is, who writes it, and why. Unit testing in extreme programming, JUnit annotations, assertions and naming conventions, mocking with Mockito, and a hands-on session on test-driven development."
,"ETL and Data Warehousing using Talend","March 2021","KMITS - Dept. of Health - Philippines","talend-etl-and-data-warehousing","Built for KMITS at the Department of Health in the Philippines. Talend design, dimensions and facts, metadata, staging tables, and the development process around them."
,"Building and Publishing Jasper Reports","June 2022","Interactive Health Solutions","jasper-reports","Designing reports in Jaspersoft Studio against a data warehouse, then publishing them to Jaspersoft Server."
,"Evaluating a Machine Learning Model","January 2023",,"machine-learning-model-evaluation","Why accuracy on its own will fool you. The confusion matrix, the high accuracy trap, picking the right metric, building a balanced one, writing your own when the standard ones do not fit, and ROC and AUC."
,"Genetic Algorithms","January 2023",,"genetic-algorithms","Shakespeare and the monkey with a keyboard. What brute force costs when you measure it against the age of the universe, and how natural selection does better. Selection, crossover, mutation, and rebuilding the Mona Lisa."
,"Web Development using Django Framework","February 2023","Habib University","django-web-development","Six sessions on Django. The client and server ends of a web application, MVT, project structure, models, templates, views and forms. Includes a group activity and a quiz."
,"Semantic Versioning","May 2024","TechThree.io","semantic-versioning","Why versioning matters and the ways teams get it wrong. No versioning, timestamps, build numbers, and what semantic versioning fixes for the people who depend on your releases."
,"Git Workflows","May 2024","TechThree.io","git-workflows","What a workflow is and the stages code passes through from development to release. The common Git workflows side by side, and how to pick one for your team."
,"Agile Methodology in Practice","May 2024","TechThree.io","agile-methodology-in-practice","How a traditional software house uses Agile to ship. People, process, and a case study, with a look at the different kinds of software house and where Agile fits each."
,"UI and UX Design","July 2024","TechThree.io","ui-and-ux-design","Material UI guidelines, colour theory, and UX-based design with worked examples."
,"Birth of Computer Programming","December 2024","Karachi School of Business and Leadership","birth-of-computer-programming","How programming began. The machines, the people, and the ideas that turned mathematics into instructions a machine could follow."
,"Quantum-safe Encryption","February 2025","TechThree.io","quantum-safe-encryption","What quantum computing is and how it differs from a Turing machine. The threat it poses to today's public key cryptography, what quantum-safe encryption does about it, NIST and CRYSTALS-Kyber, and a Java implementation using Bouncy Castle."
,"Microservices","July 2026","Ghazali University of Technology","microservices","One codebase in Dubai to a fleet of services on AWS, using Careem as the case study. Where the monolith breaks, how to find the seams, who owns which data, and what it costs to run."
